label,youtube_id,time_start,time_end,split,is_cc
abseiling,-bwYZwnwb8E,13,23,train,0
abseiling,-j9C-auQoKs,207,217,train,0
abseiling,-o4X5Z_Isyc,85,95,train,0
abseiling,-Qhiiw9yJvc,825,835,train,0
abseiling,-WKCwDRp_jk,0,10,train,0
abseiling,-Z1X9B-F04Q,12,22,train,0
abseiling,0347ZoDXyP0,95,105,train,0
abseiling,035LtPeUFTE,85,95,train,1
abseiling,03NbvjuSoxk,604,614,train,0
abseiling,0FsbjTIrBqw,286,296,train,0
abseiling,0N3Jb5UHg8Y,68,78,train,0
abseiling,0pP5PNGEDi0,159,169,train,0
abseiling,0S2Es_AMbGI,15,25,train,0
abseiling,0s2mvbfzzyc,14,24,train,0
abseiling,0ULNkPOufBU,60,70,train,0
abseiling,15z2zWbH65Y,92,102,train,0
abseiling,1atkTs6LO6s,37,47,train,0
abseiling,1wW-ojRuG50,55,65,train,0
abseiling,27Ogzc9n4GQ,116,126,train,0
abseiling,2dqgMywxl0E,71,81,train,0
abseiling,2lujXIXQIg0,52,62,train,0
abseiling,2pTztDoFiMc,525,535,train,0
abseiling,2rX-H4RmyZA,20,30,train,0
abseiling,2SRJgIEtZVs,239,249,train,0
abseiling,3CyigQpeF6I,79,89,train,0
abseiling,3D7uhXK_6-M,86,96,train,0
abseiling,3EO1jQ_nayQ,21,31,train,0
abseiling,3fM92AudOyo,15,25,train,0
abseiling,3k5sU0UoyJE,63,73,train,0
abseiling,3L60SisVlbI,33,43,train,0
abseiling,3lljmujoV9Y,958,968,train,0
abseiling,3piYTVCzh98,30,40,train,0
abseiling,3Y9w_rC9m5s,9,19,train,0
abseiling,46SgcqC8a3g,45,55,train,0
abseiling,4CCGyPZpNrU,100,110,train,0
abseiling,4KNvdZGNVRM,765,775,train,0
abseiling,4PCb5d0PDqE,184,194,train,0
abseiling,4pmkLkrDTdA,0,10,train,0
abseiling,4UfTRS5bWPw,0,10,train,0
abseiling,4VvQtg9lRK8,186,196,train,0
abseiling,51taNPfG89o,80,90,train,0
abseiling,5C9lhUhiJMk,96,106,train,0
abseiling,611neCpTy4w,42,52,train,0
abseiling,65jSHOHfBL8,7,17,train,0
abseiling,69fjzFXrOE4,51,61,train,0
abseiling,6pum2ZbKKoA,215,225,train,0
abseiling,6Z1QjwtRWjI,20,30,train,0
abseiling,7CpnJHUcLqA,0,10,train,0
abseiling,7GOB1u0scWw,426,436,train,0
abseiling,7LGTc3KkdzY,27,37,train,0
abseiling,7oeEglzbXhM,267,277,train,0
abseiling,7rGHBHnBB-g,14,24,train,0
abseiling,7vdqMe7ijZk,75,85,train,0
abseiling,7yf5Pd_pPuE,1,11,train,0
abseiling,82eVvB2tzXo,45,55,train,0
abseiling,82w0ItR1h1E,0,10,train,0
abseiling,84wLHeoit5Y,536,546,train,0
abseiling,8aqngK9DwSQ,113,123,train,0
abseiling,8NaoKo4TyHk,41,51,train,0
abseiling,8OMIM5P6Alo,127,137,train,0
abseiling,8pMa6CmyKWc,99,109,train,0
abseiling,8Tnvovr65aE,1,11,train,0
abseiling,8YHu1xNJ3Qc,12,22,train,0
abseiling,91-P5LnmPts,151,161,train,0
abseiling,95Rc1DynjV0,6,16,train,0
abseiling,9EYSXPShv9k,2,12,train,1
abseiling,9Y4-qjm56oU,293,303,train,0
abseiling,a-3KRovAH-k,106,116,train,0
abseiling,A8j3w3OWe4c,117,127,train,0
abseiling,aai41WKpdyo,45,55,train,0
abseiling,ABVY2X5gybE,210,220,train,0
abseiling,aCpOV13Bl4c,80,90,train,0
abseiling,ADTM56wuhKk,1,11,train,0
abseiling,alc3JF6C4uE,163,173,train,0
abseiling,aMbGRW5j2F4,992,1002,train,0
abseiling,AO0gugLQK0A,267,277,train,0
abseiling,aOzyY4Vy0NQ,138,148,train,0
abseiling,aP1tA12GEMI,11,21,train,0
abseiling,aRRzvis-O5c,23,33,train,0
abseiling,AWp3-Ai1atM,59,69,train,0
abseiling,aZIvntPT4Mw,7,17,train,0
abseiling,B0jeLM5OwAA,263,273,train,0
abseiling,b6iiZKlmIlg,15,25,train,0
abseiling,B6rrp-J9AJ8,199,209,train,0
abseiling,B87MBhH7Os8,7,17,train,0
abseiling,Babos19YvQ0,12,22,train,0
abseiling,BacSaidC4nE,67,77,train,0
abseiling,BFb0kYrzJhQ,149,159,train,0
abseiling,bKHjo4pR1lA,0,10,train,0
abseiling,bp7hF7s_Idw,2,12,train,0
abseiling,BS-5QaLOuy4,73,83,train,0
abseiling,btA2TeMpu1M,1,11,train,0
abseiling,BuG_Bx-af_Y,39,49,train,0
abseiling,bYVa4Rdeowc,48,58,train,0
abseiling,BzuxEyeqri0,58,68,train,0
abseiling,c-Clk49UPVw,91,101,train,0
abseiling,C0QunR-DTiQ,387,397,train,0
abseiling,C2hIVQGHaZI,1,11,train,0
abseiling,C2qo6Z-GLHI,6,16,train,0
abseiling,C3u5uTyDI_g,15,25,train,0
abseiling,caqi4oO1pIY,35,45,train,0
abseiling,cf6AuT58Zk0,52,62,train,0
abseiling,Ch5akA1cznQ,120,130,train,0
abseiling,ck7GOaenxn0,2,12,train,0
abseiling,cNEPDz_3q7E,99,109,train,0
abseiling,CRhya73Txgo,172,182,train,0
abseiling,cRo1G2eWOKA,0,10,train,0
abseiling,CV5t15nwJ9g,189,199,train,0
abseiling,CWcpEGayCQ0,93,103,train,0
abseiling,cZCc1OO24dA,2,12,train,0
abseiling,ddJ_Y9ZleAo,27,37,train,0
abseiling,DF2thKxXqvc,95,105,train,0
abseiling,DFcDhzpdxL0,34,44,train,0
